Datasize,IdleTimeout,BacklogTimeout,ExecutorAdded,ExecutorRemoved,ExecutionTime,Stage0_Tasks,Stage0_Median,Stage0_Max,Stage1_Tasks,Stage1_Median,Stage1_Max,Stage2_Tasks,Stage2_Median,Stage2_Max,Stage3_Tasks,Stage3_Median,Stage3_Max,Stage4_Tasks,Stage4_Median,Stage4_Max,Stage5_Tasks,Stage5_Median,Stage5_Max,Stage6_Tasks,Stage6_Median,Stage6_Max,Stage7_Tasks,Stage7_Median,Stage7_Max,Stage8_Tasks,Stage8_Median,Stage8_Max,Stage9_Tasks,Stage9_Median,Stage9_Max,Stage10_Tasks,Stage10_Median,Stage10_Max,Stage11_Tasks,Stage11_Median,Stage11_Max
200,12,15,5,0,76.694,1823,0.022,5,1,2,2,1,2,2,55,3,7,200,0.009,0.6,200,0.011,0.8,1,0.4,0.4,200,0.005,0.5,55,4,11,200,0.004,0.9,200,0.006,1,1,0.9,0.9
200,9,18,5,4,75.239,1823,0.022,2,1,2,2,1,1,1,1,0.7,0.7,55,2,7,200,0.008,0.4,200,0.012,0.5,200,0.006,0.3,55,3,9,200,0.005,0.2,200,0.009,0.4,1,0.7,0.7
200,9,8,13,12,65.842,1823,0.024,5,1,2,2,1,2,2,55,2,12,200,0.007,1,200,0.009,1,1,0.4,0.4,200,0.005,0.7,55,4,11,200,0.005,1,200,0.008,1,1,1,1
200,9,12,10,9,80.96,1823,0.02,10,1,2,2,1,2,2,55,2,8,200,0.022,1,200,0.041,2,1,0.3,0.3,200,0.02,0.7,55,4,9,200,0.015,1,200,0.029,0.7,1,0.8,0.8
200,14,10,6,5,60.529,1823,0.02,2,1,2,2,1,2,2,55,2,7,200,0.011,0.9,200,0.018,0.7,1,0.4,0.4,200,0.007,0.5,55,3,7,200,0.009,0.6,200,0.01,0.8,1,0.8,0.8
500,6,15,8,7,107.267,1823,0.022,3,1,2,2,1,2,2,1,1,1,150,1,9,200,0.033,0.9,200,0.042,1,200,0.007,0.7,150,3,6,200,0.008,0.6,200,0.02,0.7,1,0.9,0.9
500,17,11,7,6,75.966,1823,0.021,2,1,2,2,1,2,2,150,1,5,200,0.014,0.5,200,0.018,0.7,1,0.3,0.3,200,0.008,0.4,150,2,10,200,0.013,1,200,0.011,0.8,1,0.8,0.8
500,20,15,6,4,77.909,1823,0.021,6,1,2,2,1,2,2,150,1,8,200,0.014,0.5,200,0.03,0.6,1,0.6,0.6,200,0.018,0.5,150,2,8,200,0.008,0.3,200,0.017,0.8,1,1,1
500,15,20,4,0,90.316,1823,0.021,4,1,2,2,1,2,2,150,0.8,6,200,0.006,0.5,200,0.01,0.6,1,0.4,0.4,200,0.005,0.4,150,2,7,200,0.006,0.6,200,0.021,0.5,1,0.9,0.9
500,12,11,7,0,72.492,1823,0.022,4,1,2,2,1,2,2,150,0.9,6,200,0.011,0.5,200,0.018,0.6,1,0.5,0.5,200,0.006,0.5,150,2,8,200,0.011,1,200,0.019,0.6,1,0.9,0.9
500,12,15,5,4,69.671,1823,0.021,3,1,3,3,1,2,2,1,0.6,0.6,150,0.8,6,200,0.006,0.5,200,0.011,0.6,200,0.006,0.5,150,1,9,200,0.003,0.7,200,0.07,0.7,1,0.7,0.7
500,9,18,9,1,134.206,1823,0.022,1,1,2,2,1,2,2,150,1,12,200,0.03,1,200,0.063,2,1,0.6,0.6,200,0.035,0.9,150,4,15,200,0.018,1,200,0.026,1,1,0.7,0.7
500,30,15,6,0,79.321,1823,0.023,6,1,2,2,1,2,2,1,0.9,0.9,150,1,14,200,0.013,0.5,200,0.024,0.6,200,0.01,0.4,150,2,7,200,0.01,0.5,200,0.018,0.5,1,0.7,0.7
500,9,12,9,8,75.369,1823,0.022,1,1,3,3,1,3,3,150,1,7,200,0.009,0.7,200,0.011,1,1,0.3,0.3,200,0.005,0.6,150,2,9,200,0.02,1,200,0.022,1,1,0.8,0.8
500,15,25,4,3,85.343,1823,0.022,1,1,2,2,1,2,2,150,0.8,5,200,0.005,0.2,200,0.011,0.3,1,0.3,0.3,200,0.006,0.2,150,1,7,200,0.002,0.5,200,0.007,0.6,1,0.7,0.7
